Sheilah,Silverthorne,09/04/1970,91763,0,1,0
Reed,Kerr,12/18/1969,91763,0,0,1
Birgitta,Gallie,07/05/1972,91762,1,1,0
Daffi,Hearnaman,12/15/1973,91764,1,0,0
Alan,Jost,12/21/1977,91764,0,0,0
Georges,Langelaan,09/09/1960,91764,0,0,1
Nara,Tudhope,01/22/1986,91762,0,1,0
Lisetta,Hurles,07/28/1974,91762,1,0,0
Babs,Ironside,07/12/1978,91762,1,0,0
Georgie,Polhill,05/15/1988,91762,0,1,0
Venus,Mannie,03/10/1981,91762,1,1,0
Tessi,Juliff,04/13/1983,91764,1,0,1
Bekki,Slym,02/17/1985,91763,0,0,1
Charyl,Bonevant,02/01/1961,91764,0,0,0
Halimeda,Gavriel,02/11/1965,91762,0,0,0
Anderea,Newvell,10/14/1961,91762,0,0,0
Dayle,Noe,12/31/1967,91763,0,0,1
Luca,Hugonnet,10/03/1964,91764,0,0,1
Kip,Frickey,02/03/1961,91762,0,1,0
Estella,Willatts,07/06/1976,91762,0,0,0
Clarie,Giorgiutti,12/28/1961,91762,0,0,0
Arabel,Luscott,01/22/1967,91763,0,1,1
Wesley,Cudby,01/01/1985,91763,0,0,1
Jefferson,Bauldrey,02/13/1977,91763,1,0,1
Puff,Jime,02/17/1982,91764,1,0,0
Cyril,Burkinshaw,08/19/1987,91762,0,1,1
Rebeka,Soutter,01/07/1970,91764,1,0,0
Luise,Dillistone,12/12/1963,91763,0,0,1
Camile,Jedrzejczyk,06/21/1978,91762,0,1,0
Hamlin,Cunningham,01/21/1961,91762,0,1,0
Ella,Sellor,10/19/1961,91762,0,1,0
Danielle,Chiommienti,11/12/1969,91764,0,0,0
Albertina,Truluck,03/03/1968,91763,0,0,1
Lemmie,Chritchlow,10/11/1973,91763,1,0,1
Blake,Dinis,05/19/1976,91763,0,0,1
Jedediah,Hayball,08/07/1980,91764,1,0,0
Arie,McGregor,09/03/1984,91762,1,0,1
Brett,Grabb,08/23/1977,91763,0,1,0
Giraud,Goldsberry,11/02/1963,91762,0,1,0
Julieta,Fley,12/18/1983,91762,0,1,0
Nicholas,Grob,01/16/1962,91762,0,1,0
Patten,Hempshall,06/06/1987,91763,0,0,1
Natalie,McGeever,03/26/1969,91763,0,0,1
Alys,Skullet,02/28/1977,91762,0,1,0
Trey,Chidler,09/04/1969,91764,1,1,0
Bent,Dufer,05/31/1981,91763,1,0,1
Ephrem,Girodin,08/21/1967,91764,0,0,0
Thatch,De Goey,04/11/1965,91762,0,0,0
Bucky,Lindroos,04/07/1972,91763,0,0,0
Linnie,Brandrick,01/01/1979,91763,0,1,1
Van,Fidele,03/03/1980,91762,0,1,1
Den,Kennea,01/23/1978,91762,0,1,0
Chevy,Erie,12/04/1965,91764,1,0,1
Gennifer,Dewicke,11/30/1976,91763,0,0,1
Buckie,Lamy,10/21/1968,91764,0,0,0
Lauren,Gallelli,04/18/1969,91764,1,0,0
Andreas,Oloshkin,11/27/1970,91763,0,1,1
Heida,Humble,12/20/1971,91764,1,0,0
Reta,Corsar,07/14/1986,91762,0,1,0
Christie,Dronsfield,09/06/1979,91764,0,0,0
Josi,Vsanelli,09/17/1978,91764,0,0,0
Petronilla,Abramamov,04/15/1988,91764,1,0,0
Fabien,Barbey,08/05/1964,91763,0,0,1
Marjy,Bockman,05/13/1981,91763,0,0,1
Wildon,Bertome,10/26/1989,91762,0,0,1
Cherey,Maun,12/11/1971,91764,1,0,0
Germayne,Bawme,08/31/1983,91764,1,0,1
Judith,Clemence,04/23/1970,91764,1,0,0
Lisle,Lockey,10/17/1987,91762,1,1,0
Josselyn,Drinan,09/14/1985,91762,1,1,0
Natalya,Cardenas,05/11/1975,91764,0,0,1
Lucienne,Poundford,08/05/1977,91763,0,0,0
Kirstyn,Willeman,06/30/1984,91764,1,0,1
Patrizius,Bowlands,01/12/1961,91764,1,0,0
Clari,Chatell,01/06/1980,91764,1,0,1
Celestina,Bruckental,08/22/1972,91762,0,1,1
Enrico,Mahood,02/01/1989,91763,0,0,1
Tudor,Rollason,08/01/1986,91763,0,0,1
Adah,Cattermoul,03/24/1962,91763,0,1,0
Curtice,Fraine,04/21/1976,91762,0,0,0
Rhianna,McMenemy,03/13/1983,91762,1,0,0
Freddi,Rushsorth,04/10/1975,91764,1,0,1
Leela,Bamb,07/16/1975,91764,0,0,0
Bellanca,Long,07/21/1985,91762,0,1,0
Ajay,Witherden,10/08/1988,91763,0,0,1
Karly,Wakefield,06/19/1980,91763,0,0,1
Horst,Pomfrey,09/09/1963,91764,0,0,0
Danice,Lehrle,06/22/1975,91762,0,0,0
Drucill,Krzyzanowski,12/22/1975,91763,0,0,1
Whitaker,Daelman,11/02/1964,91763,0,0,1
Hillard,Pavlitschek,05/15/1966,91763,0,1,0
Honey,Ousbie,04/24/1970,91764,1,1,0
Web,Lally,04/14/1973,91762,0,1,1
Otto,Whibley,05/18/1984,91764,1,0,1
Walton,Vasilov,07/28/1964,91762,0,1,0
Gabrielle,Rooney,10/09/1962,91763,0,0,0
Vivie,Schachter,05/02/1968,91762,0,1,0
Isabeau,Sucre,04/08/1982,91764,1,0,1
Jasmina,Kaufman,08/07/1967,91764,0,0,0
Feliza,Hillborne,03/31/1985,91764,1,0,1
Fidelio,Dargue,05/05/1973,91762,0,0,0
Zechariah,Stutely,09/04/1978,91762,0,1,0
Chelsy,Coytes,08/04/1969,91763,1,1,0
Marjorie,Renneke,02/06/1978,91762,0,1,1
Nichole,Wakefield,08/20/1981,91763,0,0,1
Carola,Folonin,04/01/1970,91764,0,0,0
Nicholle,Marling,11/30/1987,91764,1,0,0
Broderick,Killerby,03/27/1969,91764,0,0,1
Feliks,Hurford,07/28/1964,91762,1,1,0
Annetta,Cosely,10/12/1983,91764,0,0,1
Law,Barbrick,02/06/1984,91762,0,1,1
Ilka,Sander,02/23/1965,91763,0,0,0
Virgina,Northedge,07/28/1988,91762,1,1,0
Ruby,Lowen,07/02/1966,91763,0,1,0
Timofei,Dorber,04/29/1970,91762,0,1,0
Sherye,Aisbett,05/16/1983,91762,1,0,1
Coral,Tiddeman,04/03/1969,91763,0,1,0
Malissa,Cordova,10/02/1962,91762,0,1,0
Wat,Kelemen,07/08/1978,91762,0,1,0
Frayda,McGeneay,09/25/1972,91764,1,0,0
Jocko,Ilyenko,12/08/1974,91762,1,0,0
Cherice,Gowman,09/27/1984,91764,1,0,0
Heinrick,Duiguid,06/19/1972,91762,0,1,0
Kata,Klosa,11/02/1961,91764,1,0,1
Edee,Schonfeld,08/24/1987,91764,1,0,0
Dominica,Tuhy,06/23/1967,91762,1,1,0
Leland,McGreil,03/18/1967,91762,0,1,0
Amargo,Duval,07/27/1975,91764,0,0,1
Roland,Tiernan,06/04/1974,91762,1,1,1
Annice,Ruprich,07/22/1980,91764,0,0,0
Paige,Kurten,11/05/1981,91764,1,0,1
Claribel,Sibbert,02/09/1963,91763,0,0,1
Terrye,Warner,02/25/1969,91763,0,0,1
Estrella,Grandisson,08/23/1982,91763,0,0,1
Richmound,Leser,11/26/1986,91763,1,0,1
Shawna,Bacon,11/25/1988,91763,0,0,1
Ardelia,Osborne,02/19/1967,91762,0,1,0
Addi,O'Kerin,09/30/1964,91763,0,0,0
Michele,Veel,09/25/1973,91762,0,1,0
Liv,Tobin,09/19/1973,91762,0,0,1
Kristofer,Mayze,07/13/1988,91764,1,0,0
Nealon,Axelbey,08/30/1965,91763,0,0,0
